127.0.0.1 - - [20/Nov/2023:10:15:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:15:31 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:15:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:35:29 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:39:38 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 500 2227
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:39:58 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:40:34 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:44:30 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:53:36 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:10 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:11 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:12 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:12 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:12 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:12 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:13 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:10:54:22 +0900] "GET /jwbook/hello.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:02:31 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:02:54 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:03:29 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:10:29 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:11:34 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:13:56 +0900] "GET /jwbook/ch01/scriptlet.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:38:26 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:45:44 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:50:14 +0900] "GET /jwbook/ch01/scriptlet2.jsp HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [20/Nov/2023:11:56:54 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:02:08 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:02:08 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 200 25300
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:53 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:53 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:53 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:23 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:23 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:24 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:24 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:24 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:24 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:25 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:25 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:35 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:35 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:14:10 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:14:10 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:14:10 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:14:58 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:14:58 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:17:41 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:17:41 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:17:41 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:19:09 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:19:09 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:19:39 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:19:39 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:19:39 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:19:40 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:36:16 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 709
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:36:16 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:36:16 +0900] "GET /jwbook/resources/images/time.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:40:11 +0900] "GET /jwbook/include/main.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:44:50 +0900] "GET /jwbook/include/header.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:44:54 +0900] "GET /jwbook/include/header.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Nov/2023:13:44:55 +0900] "GET /jwbook/include/header.jsp HTTP/1.1" 200 203
